WorkItemId,Type,ParentId,Title,Sprint,SprintStart,SprintEnd,StoryPoints,Priority,Status,FRReference,AcceptanceCriteria
EP-001,Epic,,專案基礎建設 (Project Foundation),,2026-04-20,2026-05-01,11,High,Not Started,,Solution 結構完整建立；CI 可執行建置
EP-002,Epic,,Domain 模型層 (Domain Layer),,2026-04-20,2026-05-01,42,Critical,Not Started,FR-028/031/036~047,所有 AR / VO / Event / Repository Interface 通過單元測試
EP-003,Epic,,Infrastructure - 持久化層 (Persistence),,2026-05-04,2026-05-15,31,Critical,Not Started,FR-021~024,全部 Repository 可正確讀寫 SQLite WAL；整合測試通過
EP-004,Epic,,Infrastructure - ZeroMQ & 監控 (ZeroMQ & Monitoring),,2026-05-04,2026-05-15,16,Critical,Not Started,FR-002/028,心跳訂閱與超時偵測 End-to-End 驗證通過
EP-005,Epic,,Application 層 - 核心監控 (Core Monitoring),,2026-05-18,2026-05-29,24,Critical,Not Started,FR-001~003/033,狀態機轉換與儀表板資料正確；站台重啟後狀態復原
EP-006,Epic,,Application 層 - 告警管理 (Alert Management),,2026-05-18,2026-05-29,19,Critical,Not Started,FR-010/011/017~019/032,告警觸發/確認/維護模式流程 E2E 正確
EP-007,Epic,,展示層 - 儀表板 & 即時推送 (Dashboard & Realtime),,2026-06-01,2026-06-12,31,High,Not Started,FR-010/030,儀表板即時顯示狀態；告警 Pop-up 正常
EP-008,Epic,,展示層 - 管理 & 歷史 (Management & History),,2026-06-01,2026-06-12,22,High,Not Started,FR-009/021~023/031,系統設定 CRUD；歷史與稽核查詢正常
EP-009,Epic,,彙整健康監控 (Aggregate Health Monitoring),,2026-06-15,2026-06-26,55,Critical,Not Started,FR-013~016/020/041~047,每日執行實例建立/評估/通知完整流程正確
EP-010,Epic,,郵件轉送整合 (Mail Relay Integration),,2026-06-29,2026-07-10,37,High,Not Started,FR-048~051,Outlook COM 輪詢→ZeroMQ→狀態機更新 E2E 正確
EP-011,Epic,,測試 & 品質驗收 (Testing & QA),,2026-06-29,2026-07-10,38,High,Not Started,,所有核心單元測試通過；E2E 驗收場景覆蓋
US-001,Story,EP-001,建立 Solution 架構與專案參考,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,,"建立 BrokerageMonitor.sln；4 個主要專案 (Domain/Application/Infrastructure/Web) + MailAgent 專案 + 3 個測試專案；專案參考關係符合 Clean Architecture；dotnet build 成功"
US-002,Story,EP-001,設定 NLog 結構化日誌框架,Sprint 1,2026-04-20,2026-05-01,2,Medium,Not Started,,"Console + Rolling File Target；支援 DEBUG/INFO/WARNING/ERROR/CRITICAL；含 OperationId 結構化欄位；生產環境預設 INFO 等級"
US-003,Story,EP-001,整合 Quartz.NET 排程框架,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,,"QuartzJobScheduler 可透過 DI 注入 IJob；In-memory Job Store；啟動時可正常排程並執行測試 Job；Cron 解析正確"
US-004,Story,EP-001,設定 SQLite WAL 模式與 Dapper 連線工廠,Sprint 1,2026-04-20,2026-05-01,3,High,Not Started,,"DatabaseInitializer.cs 執行 PRAGMA journal_mode=WAL；DbConnectionFactory 支援 DI 注入；連線字串讀自 appsettings.json"
